Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
Carpet style : a comprehensive style by style directory to choosing the right carpet for your home,"Phillips, Barty","USA: Chartwell Books, 1997",Carpets|Interior Design,729 BAR,Sydney,26/10/2006,
Case da vendere: ready houses,"Hofmann, Rinaldo (ed)","New York: New York Institute of Technology, 1983",Houses,720.92 HOF,Brisbane,,
Case study houses 1945 - 1962,"McCoy, Esther","Santa Monica: Hennessy + Ingalls, 1977",Houses - USA - History,728.37 0973 MCC,Brisbane,2/08/2006,
Case study houses 1945 - 1966,"Smith, Elizabeth|Gossel, Peter","Koln: Taschen; Mul edition,  2009",Architecture - USA|Dwellings|Houses - USA - History,728.370973 SMI,Sydney,9/09/2014,
Case: Le Corbusier's Venice Hospital and the mat building revival,"Sarkis, Hashim (ed)","Munich: Prestel Verlag, 2001",Hospitals - Design and Construction|Hospitals - Italy|Le Corbusier,725.51 LEC,Sydney,23/02/2010,
Catalogue: Foster + Partners,,"Munich: Prestel, 2008","Foster, Norman",720.92 FOS,Sydney,21/05/2009,
Catalogue: Foster and Partners,,"Munich: Prestel, 2005","Foster, Norman",720.92 FOS,Sydney,26/10/2010,
Catalytic formations :  architecture and digital design,"Rahim, Ali","London: Taylor & Francis, 2006","Architecture, Modern - 21st Century|Computer-Aided Design (CAD)",721.018 RAH,Sydney,30/05/2017,
Celebrating Chandigarh 50 Years of the idea Chandigarh : Proceedings of Conference held  India 9-11 January 1999,,"New Delhi: Chandigarh, 2001",Architectural Theory|Le Corbusier|Urban Planning|Cities and Towns,711.40954 CEL,Sydney,8/06/2005,
Celebrating Sydney 2000 : 100 legacies,"Johnson, Chris|Bingham-Hall, Patrick","Sydney: Pesaro Publishing, 2000",Sydney Olympics 2000|Architecture - Sydney,796.48099441 JOH,Sydney,20/02/2006,
Chandigarh rethink: transforming ruralities &  edge(ness) in global urbanities,"Sobti, Manu (ed)","San Francisco: Oro Editions, [2017]",Urban Planning|Cities and Towns,711.40954 CHA,Brisbane,,1/11/2017
Change or die: the three keys to change at work and in life,"Deutschman, Alan","NY: Collins, 2008",Change - Psychology|Organisational Change,303.4 DEU,Sydney,4/15/2013,
Changing hospital architecture,"Presad, Sunand (ed)","London: RIBA Publishing, 2008",Hospitals - Australia - History|Hospitals - Design and Construction|Hospitals - History,725.51 CHA,Brisbane|Sydney,19/05/2008,30/05/2008
Changing workplace,"Duffy, Francis","London: Phaidon, 1992",Workplace Design,725.23 DUF,Brisbane,19/01/2006,
Charles Correa,"Frampton, Kenneth|Correa, Charles","London: Thames & Hudson, 1996","Architecture - India|Correa, Charles",720.92 COR,Sydney,19/01/2006,
Chasing the sky: 20 stories of women in architecture,"Dewhirst, Dean (ed)","Sydney: Maven Publishing, 2016","Galvin, Abbie|Women in Architecture",720.994 TWE,Brisbane|Sydney,22/03/2017,22/03/2017
Children make their school,"Hubner, Peter","Stuttgart: Axel Menges, 2005",Schools,727 HUB,Sydney,19/01/2010,
"Children, spaces, relations: metaproject for an environment for young children","Ceppi, Giulio|Reggio Children","Milan: Domus Academy and Reggio Children, 1998",Architecture and Children|Kindergartens|Schools - Primary,727.1 CEP,Brisbane|Sydney,6/01/2009,
Children's spaces,"Dudek, Mark","Oxford: Excelsior/Architectural Press, 2005",Architecture and Children|Day Care Facilities|Playgrounds|Schools - Primary,727.1 DUD,Sydney,1/11/2005,
Chillida 1948-1998,"Chillida, Eduardo","Madrid : Museo Nacional Reina Sofi´a, 1998","Chillida, Eduardo|Sculpture",730.92 CHI,Sydney,30/05/2017,
Christian de Portzamparc,"Trelcat, Sophie","Paris: Groupe Moniteur, Departement Architecture, 2007","Portzamparc, Christian de",720.92 POR,Brisbane,,14/08/2007
Cinemetrics: architectural drawing today,"McGrath, Brian|Gardner, Jean","Chichester, England ; Hoboken, NJ : Wiley-Academy, 2007",Architectural Drawing|Computer-Aided Design (CAD),720.2840285 McG,Brisbane,,24/08/2009
Cities for a small country,"Rogers, Richard|Power, Ann","London: Faber & Faber, 2000",Urban Planning - UK|Environmentally Sustainable Design (ESD),307.760941 ROG,Sydney,9/11/2006,
Cities for a small planet,"Rogers, Richard","London: Faber & Faber, 1997",Environmentally Sustainable Design (ESD)|Urban Planning,711.409045 ROG,Sydney,3/08/2006,
Cities for people,"Gehl, Jan","Washington, DC: Island Press, 2010",City Planning|Urban Planning,307.1 GEH,Brisbane|Sydney,1/19/2011,8/02/2011
City edge : case studies in contemporary urbanism,"Charlesworth, Esther (ed)","Oxford: Elsevier / Architectural Press, 2005",Urban Planning,711.4 CIT,Sydney,1/11/2005,
City limits: why Australia's cities are broken and how we can fix them,"Kelly, Jane-Frances","Carlton, Vic: Melbourne University Press, 2015",City Planning|Urban Planning|Cities and Towns,307.76 0994 KEL,Sydney,3/19/2015,
City of darkness revisited,"Girard, Greg|Lambot, Ian","[London]: Somerset Watermark Publications, 2014",Kowloon Walled City|Squatter Settlements - Hong Kong,951.2505 GIR,Sydney,8/13/2015,
City of Sydney policies and codes,City of Sydney|Sydney City Council,,Policy Codes,Archives SYD01511471,Sydney,4/19/2011,
City spaces: art & design,"Mossop, Elizabeth|Walton, Paul","Sydney: Craftsman House, 2001",Public Spaces - Australia|Urban Planning|Art,307.12160994 CIT,Sydney,7/08/2006,
City Tattersalls Club: a history 75 years,City Tattersalls Club,"[Sydney]: City Tattersall's Club, 1971",Tattersalls Club - Sydney - History|Horse Racing - Australia,798.4 TAT,Sydney,15/06/2021,
City transformed : urban architecture at the beginning of the C21st Century,"Powell, Kenneth","London: Laurence King, 2000",Urban Planning|Masterplanning,711.4 POW,Sydney,21/02/2006,
"Civic Centre Canberra: policy plan, development plan - draft for discussion February 1982",,"Canberra: NCDC, 1982",Urban Planning - Canberra,Archives SYD01511322,Sydney,,
"Civic Centre Canberra: policy plan, implementation plan - draft for discussion November 1987",,"Canberra: NCDC, 1987",Urban Planning - Canberra,Archives SYD01511322,Sydney,12/21/2010,
"Civic Centre Canberra: Policy plan, January 1989",,"Canberra: NCDC, 1989",Urban Planning - Canberra,Archives SYD01511323,Sydney,14/12/2006,
Civic lighting and pedestrian signage : strategic plan,,,Canberra - History|Lighting,Archives SYD01511322,Sydney,12/21/2010,
"Classic chic : the ""Little Black Dress"" of interior design","Trocme, Suzanne","London: Jacqui Small, 2002",Interior Design,729 TRO,Brisbane,,
Classical architecture,"Porphyrios, Demetri","Windsor, Berks: Andreas Papadakis, 1998",Architecture - Classical,722.8 POR,Sydney,11/19/2013,
Clear glass: creating new perspectives,"Uffelen, Chris van","Berlin: Braun, 2009",Glass in Architecture,721.04496 UFF,Sydney,30/05/2017,
Clear leadership: sustaining real collaboration and partnership at work,"Bushe, Gervase","Moutain view, Calif. : Davies-Black, 2009",Communication|Emotions|Leadership|Management|Team Skills Programme (TSP),658 BUS,Brisbane,,7/31/2014
Climate and architecture,"Dahl, Torben","Oxon [England] ; New York, NY : Routledge, 2010",Architecture and Climate,720.47 DAH,Brisbane,,26/02/2010
Climate design: solutions for buildings that can do more with less technology,"Hausladen, Gerhard  (et al)","Basel: Birkhauser, 2005",Climate|Environmentally Sustainable Design (ESD)|Ventilation,720.47 CLI,Sydney,7/06/2007,
Climate responsive design : a study of buildings in moderate and hot humid climates,"Hyde, Richard","London: E & F Spon, 2000",Environmentally Sustainable Design (ESD)|Climate,720.47 HYD,Brisbane|Sydney,3/08/2006,3/03/2009
Closer to God : religious architecture and sacred spaces,,"Berlin : Gestalten, 2010",Chapels|Churches|Religious Buildings|Mosques|Synagogues|Temples,726 CLO,Sydney,30/05/2017,
Coastal homes of the world,"Butterworth, Monique","Sydney: New Holland Publishers, 2017",Beach Houses|Houses,728.7 BUT,Sydney,12/01/2017,
Collection: offices 2010,"Van Uffelen, Chris","[Berlin]: Braun, 2010",Office Buildings|Office Fitouts|Workplace Design,725.23 VAN,Brisbane|Sydney,,4/08/2010
Colleges and Universities: educational spaces,"Kramer, Sybylle","Berlin: Braun, 2010",Educational Buildings,727.3 KRA,Brisbane,,9/02/2014
Colonial Australia: nineteenth century buildings revisited,"Thompson, Eric","Sydney: Clarion Press, 1973",Historic Buildings - Australia,720.994 THO,Sydney,5/02/2011,
Colonial to contemporary: Queensland College of Art 125 years,"Morrell, Timothy","Queensland: Griffith Artworks, 2006",Art Galleries - Australia|Artists|Artists - Australia,727.7 COL,Brisbane,,2/10/2006
Colour,"Linz, Barbara","Germany: Ullman, 2009",Colour in Design|Colour in Architecture,729 LIN,Brisbane,,
"Colour hunting: how colour influences what we buy, make and feel","Kamphuijs, Hanneke et al","Amsterdam: Frame, 2011",Colour in Design|Colour in Architecture,729 COL,Sydney,11/16/2011,
"Colour in architecture : design methods for buildings, interiors and urban spaces","Linton, Harold","New York: McGraw-Hill, 1999",Colour in Architecture,729 LIN,Sydney,21/02/2006,
Colour in architecture facade,,"Shenyang shi : Liaoning ke xue ji shu chu ban she, 2010",Facades|Colour in Architecture,721 COL,Brisbane,,20/05/2011
Colour in architecture: research into the use of colour and its psychological impact,,"London: Architects' Journal , 2008",Colour in Architecture,729 COL,Brisbane|Sydney,3/03/2008,29/02/2008
Colour schemes for old Australian houses,"Evans, Ian|Stapleton, Ian|Lucas, Clive","Sydney: Flannel Flower Press, 1985",Architecture - Australia|Colour|Heritage Buildings|Houses,729.0994 EVA,Brisbane|Sydney,21/03/2018,7/03/2018
"Colour, graphics and architecture","Bottura, Roberto","Barcelona : Links, 2010",Colour in Architecture,729 COL,Sydney,7/30/2014,
Colours of architecture : coloured glass in contemporary buildings,"Moor, Andrew","London: Mitchell Beazley, 2006",Colour in Architecture|Glass in Architecture|Interior Design,693 MOO,Sydney,13/11/2006,
Commercial timbers of New South Wales and their use,"Bootle, Keith R","Sydney: Angus & Robertson, 1971",Building Materials|Timber - NSW,691.09944 BOO,Sydney,21/02/2006,
Commerzbank Frankfurt : prototype for an ecological high-rise,"Davies, Colin|Lambot, Ian","Switzerland: Birkhauser, 1997",Environmentally Sustainable Design (ESD)|High Rise Buildings,725.2 DAV,Sydney,3/08/2006,
Compass and rule: architecture as mathematical practice in England 1500-1750,"Gerbino, Anthony|Johnston, Stephen",,"Architecture and Mathematics|Architecture - England - History|Wren, Christopher Sir",720.942 GER,Sydney,3/26/2012,
"Components and systems: modular construction: design, structure, technologies","Staib, Gerald|Dorhofer, Andreas|Rosenthal, Markus","Basel: Birkhauser, 2008",Modular Construction,729.2 STA,Brisbane,,
Computational ecologies: design in the anthropocene,,"[New York]:Association for Computer Aided Design in Architecture, [2015]",Computer-Aided Design (CAD)|Computational Design,721.018 ACA 2015,Brisbane,5/12/2016,
Computing the environment: digital design tools for simulation and visualisation of sustainable architecture,"Peters, Brady|Peters, Terri","Chichester, England: John Wiley &  Sons, 2018",Data Processing|Architectural Design|Sustainable Design,721.018 PET,Sydney,29/04/2019,
Conceptual diagrams: 346 projects of 83 design teams,"Pyo, Mi young (ed)","Seoul, Korea: Damdi, 2010",Architectural Drawing|Design|Digital Architecture,720.284 PYO,Sydney,7/19/2011,
Concrete,"Hall, William (ed)","London: Phaidon, 2012",Concrete|Concrete Structures,721.0445 CON,Brisbane|Sydney,19/03/2018,25/06/2018
Concrete metal glass: Hijjas Kasturi Associates selected works 1977-2007,"McGillick, Paul","Kuala Lumpur: Editions Didier Millet, 2006",Hijjas Kasturi Associates,729.922 HIJ,Sydney,20/04/2009,
Concrete panel homes handbook : a guide to the design and detailing of concrete panel construction for housing,Cement & Concrete Association of Australia,"Sydney: CCA, 2001",Concrete Structures,693 CEM,Sydney,8/08/2006,
Concrete poetry : concrete architecture in Australia,"Rollo, Joe","Sydney: Cement Concrete & Aggregates Australia, 2004",Architecture - Australia|Concrete Structures,720.994 ROL,Brisbane|Sydney,28/02/2006,1/09/2004
Conferencing workbook,Wilkhahn,"Germany: Wilkhahn, [nd]",Workplace Design,725.23 WIL,Sydney,29/06/2017,
"Conferencing, discussing, learning : interior and specifiers' handbook for communication areas","Englich, Guido|Remmers, Burkhard","Germany: Wilkhahn,1998",Workplace Design|Workstations|Organisational Change,725.23 CON,Brisbane,,19/12/2006
Confessions of a generalist,"Diffrient, Niels","Generalist Inc, 2012",Niels Diffrient|Industrial Design,745.2 DIF,Brisbane,,9/23/2021
"Congress, convention & exhibition facilities : planning, design and management","Lawson, Fred","Oxford: Architectural Press, 2000",Convention Centres|Conference Centres|Exhibition Centres,725.91 LAW,Brisbane|Sydney,4/07/2005,7/08/2009
Conservation plan : a guide to the preparation of conservation plans for places of European cultural signifigance,"Kerr, John Semple","Sydney: National Trust of Australia (NSW), 1996",Conservation and Restoration|Historic Buildings - Australia,363.69 0994 KER,Sydney,4/01/2007,
"Constructing architecture : materials, processes, structures, a handbook","Deplazes, Andrea (ed)","Basel: Birkhauser, 2013",Building Materials|Construction,693 CON,Sydney,22/03/2017,
"Constructing landscape: materials, techniques, structural components","Zimmermann, Astrid (ed)","Basel: Birkhauser, 2011",Landscape Architecture|Landscape Design,712.3 CON,Sydney,22/03/2017,
Construction for interior designers,"Ashcroft, Roland","London: Longman Scientific & Technical, 1985",Interior Design|Construction,690 ASH,Sydney,8/08/2006,
Construction industry terminology,"Standen, David","Melbourne: RAIA, 1993",Dictionaries - Building and Construction,690 STA Reference,Sydney,25/05/2005,
Construction industry terminology,"Standen, David","Melbourne: RAIA, 2000",Dictionaries - Building and Construction,690 STA Reference,Brisbane,,30/05/2008
Construction materials manual,"Hegger, Manfred","Basel, Switzerland : Birkhauser, 2006",Building Materials|Materials,691 HEG,Brisbane,30/05/2017,
Contemporary Australian landscape design,"Mossop, Elizabeth","West Ryde, NSW: BT Latitude, 2006","Architecture - Australia|Architecture, Modern - 21st Century|Landscape Design - Australia",712.0994 MOS,Brisbane|Sydney,9/10/2006,15/10/2008
Contemporary beach houses down under,"Crafti, Stephen","Mulgrave, Vic : Images Publishing, 2008",Beach Houses,728 .72 CRA,Brisbane,,28/11/2008
Contemporary colour design,,"Koln London: Daab, 2007",Colour in Architecture|Colour in Design,701.85,Brisbane,,3/06/2008
Contemporary corporate architecture,,"Cologne: Daab, 2009",Office Buildings,725.2 CON,Sydney,13/07/2009,
Contemporary curtain wall architecture,"Murray, Scott","NY: Princeton Architectural Press, 2009",Building Skins|Cladding|Curtain Walls|Facades,721.2 MUR,Sydney,18/01/2010,
Contemporary design in detail : sustainable environments,"Chan, Yenna","Massachusetts: Rockport, 2007",Environmentally Sustainable Design (ESD)|Houses,720.47 CHA,Brisbane|Sydney,25/06/2007,
Contemporary Dutch school architecture: a tradition of change,Ton Verstegen (ed),"Rotterdam: NAi Publishers/Staro, 2008",Schools - Netherlands,727.10492 CON,Sydney,3/01/2012,
Contemporary Finnish architecture,"Tianen, Jussi","Helsinki, Finland: Building Information / Rakennustieto Oy, 2002",Architecture - Finland,720.9489 TIA,Sydney,11/10/2007,
Contemporary living,"Pauwels, Wim","Belgium: Beta-Plus Publishing, 2007",Minimal Architecture|Houses|Apartments|Interior Design,728 PAU,Brisbane,,15/08/2008
Contemporary museums,,"[NP], 1997",Museums,727.6 CON,Sydney,8/06/2005,
Contemporary staircases,"Slessor, Catherine","London: Mitchell Beazley, 2000",Staircases,721.832 SLE,Sydney,27/02/2006,
Contemporary world architecture,"Pearman, Hugh","London: Phaidon Press, 1998","Grose Bradley|Airports|Architecture, Modern - 20th Century|Art Galleries|Hotels|Industrial Buildings|Libraries|Museums|Office Buildings|Public Spaces|Retail Design|Stadiums|Theatres|University Buildings|LNPA (Lawrence Nield & Partners Australia)|Nield, Lawrence",720 PEA,Sydney,22/02/2006,
Convergence: the redesign of design,Randy Deutsch,"Chichester, West Sussex: John Wiley &  Sons Ltd, 2017",Architecture and Technology,720.285 DEU,Sydney,19/03/2018,
Convertible houses,"Lam, Amanda|Thomas, Amy","Salt Lake City, Utah: Gibbs Smith, 2007",Interior Design|Room Layout,747 LAM,Brisbane,,26/05/2008
Cool offices,,"Barcelona : Links International ; Garsington : Windsor [distributor], 2005",Office Buildings|Office Fitouts|Office Layout|Interior Design,725.23 COO,Brisbane,,15/07/2008
Cool: the 60s Brisbane house,,"[Brisbane] : School of Design & Built Environment, Queensland University of Technology, [1964]",Architecture - Brisbane - History|Houses - Brisbane,728.099431 COO,Brisbane,,12/10/2009
Corporate buildings,"Krauel, Jacobo","Barcelona: Links Publishing, 2008",Commercial Developments|Office Buildings,725.2 KRA,Brisbane|Sydney,29/01/2009,18/02/2009
Cost effective building: economic concepts and constructions,"Schittich, Christian (ed)","Basel, Switzerland: Birkhauser, 2007",Architecture - Economic Aspects|Structural Engineering,720 SCH,Brisbane,,20/07/2009
Courting blakness: recalibrating knowledge in the sandstone university,"Foley, Fiona (ed)","St Lucia, Queensland: University of Queensland Press, 2015",Installation Art|Art - Aboriginal,704.039 COU,Brisbane,,
Courtyard houses: a housing typology,"Pfeifer, Gu¨nter|Brauneck, Per","Basel: Birkhauser, 2008",Courtyard Houses|Courtyard Housing,728.3 PFE,Sydney,6/06/2011,
Courtyard housing : design principles,NSW. Department of Urban Affairs and Planning (DUAP),"Sydney: DUAP, 1996",Houses - NSW - Design and Construction,728.370994 COU,Sydney,28/02/2006,
"Courtyard housing: past, present and future","Edwards, Brian (ed)","New York: Spon Press, 2006",Courtyard Houses|Courtyard Housing,728.3 EDW,Sydney,6/06/2011,
Cradle to cradle: remaking the way we make things,"McDonough, William|Braungart, Michael","USA: North Point Press, 2002",Recycling|Industrial Design|Industrial Management,745.2 MCD,Brisbane,,01/31/2011
Creating the productive workplace,"Clements-Croome, D","London: E&F Spon, 2000",Workplace Design,725.23 CRE,Sydney,19/01/2006,
Creative confidence: unleashing the creative potential within us all,"Kelley, David|Kelley, Tom","London: William Collins, 2013",Creative Ability|Creative Thinking|Organisational Behaviour,658.3 KEL,Sydney,12/03/2013,
Creative office,"Myerson, Jeremy|Ross, Philip","London: Laurence King, 1999",Office Buildings|Office Fitouts|Workplace Design,725.23 MYE,Brisbane|Sydney,19/01/2006,
Creativity: flow and the psychology of discovery and invention,"Csikszentmihalyi, Mihaly","New York: Harper Perrenial, 1997",Creative Thinking|Team Skills Programme (TSP),153.35 CSI,Sydney,23/06/2009,
Critical path,"Fuller, Buckminster R","New York: St Martin's Press, 1981",Civilization - Hisitory|Civilization - Philosophy,909 BUC,Brisbane|Sydney,31/08/2009,7/30/2014
Critiques 1 : papers and projects from the programme of studies for the Master of Architecture examined by design,"Beck, Haig|Turnbull, Jeff","Melbourne: University of Melbourne, 1987","DCM (Denton Corker Marshall)|Giurgola, Romaldo|Jackson, Daryl|Addison, Rex|Architecture - Australia|LNPA (Lawrence Nield & Partners Australia)|Nield, Lawrence|Woolley, Ken|Cox, Philip",720.994 CRI,Sydney,9/08/2006,
Critiques 2 : twelve thesis designs of 1987 fifth year students of the University of Melbourne,"Beck, Haig|Turnbull, Jeff","Victoria: University of Melbourne, Department of Architecture, 1988",,720.92 CRI,Brisbane,,
Cross laminated timber: a design stage primer,"Crawley, Nic","London: RIBA Publications, 2021",Cross-laminated Timber (CLT)|Timber Construction|Timber in Architecture,694 CRA,Brisbane|Sydney,15/06/2021,15/06/2021
Cubed: a secret history of the workplace,"Saval, Nikil","New York: Doubleday, 2014",Office Buildings - History|Work - History|Workplace Design - History,725.3 SAV,Sydney,5/26/2014,
Cuttings,"Hyde, Olivia|Jakovich, Joanne|Rivard, Thomas","Sydney: Sydney University Press, 2006",Urban Renewal|Landscape Design,307.3409944 URB,Sydney,22/08/2007,
Cybercafes: surfing interiors,"Costa Duran, Sergi (ed)","Barcelona: Loft Publications, 2007",Cybercafes,725.2 COS,Sydney,30/05/2017,
Danmarks Nationalbank,,"Copenhagen: Danmarks National Bank, 2008","Banks - Denmark|Jaconsen, Arne",725.2 DAN,Sydney,22/10/2008,
Dark emu: Aboriginal Australia and the birth of agriculture,"Pascoe, Bruce","Broome, WA: Magabala Books, 2018",Aboriginal Australians|Hunting and gathering societies|Indigenous Australians,305.8991 PAS,Brisbane|Sydney,16/03/2021,2/04/2019
Dark matter and Trojan horses: a strategic design vocabulary,"Hill, Dan","[Moscow]: Strelka Press, 2012",,Strelka Press,Sydney,22/03/2017,
"Dark writing: geography, performance, design","Carter, Paul","Honolulu: University of Hawaii Press, 2009",Cartography|Geography,526.01 CAR,Sydney,3/24/2014,
Data flow: visualising information in graphic design,"Klanten, Robert (ed)","Berlin: Gestalten, 2008",Graphic Design,741.6 KLA,Sydney,17/08/2010,
"Data-driven design and construction : 25 strategies for capturing, analyzing, and applying building data","Deutsch, Randy","New Jersey: John Wiley &  Sons,  [2015]",Technological Innovations|Architectural Design|Building Data,720.285 DEU,Sydney,14/09/2016,
"Daylighting handbook 1: fundamentals, designing with the sun","Reinhart, Christoph",2014,Light in Architecure|Daylighting|Sunlight,721.0567 REI,Sydney,22/03/2017,
"Dbook : density, data, diagrams,dwellings: a visual analysis of 64 collective housing projects","Fernandez Per, Aurora","Vitoria-Gasteiz : a+t ediciones, 2007",Apartment Buildings|High Rise Buildings|Housing|Medium Density Housing|Urban Planning,728.31 FER,Brisbane|Sydney,19/02/2009,25/02/2008
DCM Denton Corker Marshall,,,DCM (Denton Corker Marshall)|Architecture - Australia,720.922 DCM,Sydney,21/04/2009,
Dealing with risk : managing expectations,Australian Council of Professions,"Canberra: Australian Council of Professions, 1996",Architectural Practice - Australia|Risk Management,658.155 DEA,Sydney,8/08/2006,
Death by meeting: a leadership fable about solving the most painful problem in business,"Lencioni, Patrick","San Francisco:Jossey-Bass,2004",Meetings|Organisational Behaviour,658.4 LEN,Brisbane,,18/12/2017
Decoding the city: urbanism in the age of big data,"Offenhuber, Dietmar (ed)|Ratti, Carlo (ed)","Basel: Berkhauser, 2014",City Planning|Data Mining,307.1 DEC,Sydney,11/08/2016,
Defining boundaries: an illustrated guide: a guide to determining boundaries for places entered in the Queensland Heritage Register,Queensland. Environmental Protection Agency. Cultural Heritage Branch,"Brisbane: Queensland Heritage Council, 2007",Heritage Buildings - Brisbane|Historic Buildings - Queensland,363.69 QUE,Brisbane,,31/07/2007
Delirious New York: a retroactive manifesto for Manhattan,"Koolhaus, Rem","New York: Monacelli Press, 1994",Architecture - New York,720.9747 KOO,Sydney,11/27/2012,
Density: new collective housing,"Fernandez Per, Aurora|Mozas, Javier","Vitoria-Gasteiz : a+t ediciones, 2006",Apartment Buildings|Housing|Medium Density Housing|Urban Planning,728.314 MOZ,Brisbane,,7/29/2014
Design & health : the theraputic benefits of design,"Dilani, Alan","Stockholm: Svensk Byggtjanst, 2001",Hospitals - Design and Construction|Hospitals - Interior Design,725.5 DIL,Sydney,2/01/2007,
Design & health III : health promotion through environmental design,"Dilani, Alan","Stockholm, Sweden: International Academy for Design & Health, 2004",Art|Colour|Gardens|Healing|Hospitals - Interior Design|Music|Occupational Health and Safety,725.5 DIL,Sydney,26/10/2006,
Design & health IV : future trends in healthcare design,"Dilani, Alan","Stockholm, Sweden: International Academy for Design & Health, 2006",Aged Care|Art|Environmentally Sustainable Design (ESD)|Hospitals - Design and Construction|Workplace Design,725.5 DIL,Sydney,20/09/2006,
Design after modernism: beyond the object,"Thackara, John",,,745.4 DES,Brisbane,,
Design and planning of research and clinical laboratory facilities,"Mayer, Leonard",,Laboratories|Research Facilities|Clinical Services Facilities,727.5 MAY,Sydney,1/07/2009,
Design city Melbourne,"Van Schaik, Leon","London: John Wiley & Sons, 2006",Architecture - Melbourne,720.9945 VAN,Sydney,,
Design competition for the upgrading of the Trieste waterfront : brief,,"Trieste: Commune di Trieste, 2001",Competitions|Urban Planning|Waterfront Architecture|Waterfront Development - Italy,725.34 TRI,Brisbane,,13/12/2006
Design details for health : making the most of interior design's healing potential,"Leibrock, Cynthia","New York: John Wiley, 2000",Hospitals - Interior Design|Healing,725.5 LEI,Brisbane|Sydney,26/10/2006,
Design dialogue: Central national area design study 1995,,,,Archives SYD01511322,Sydney,12/21/2010,
Design drawing,"Ching, Francis D K|Juroszek, Steven","New Jersey: John Wiley, 2010",Architectural Drawing,720.284 CHI,Sydney,12/04/2012,
Design ecologies: essays on the nature of design,"Tilder, Lisa
Blostein, Beth","New York : Princeton Architectural Press, 2009",Design - Environmental Aspects|Environmentally Sustainable Design (ESD),720.47 TIL,Brisbane,7/31/2014,
Design expertise,"Lawson, Bryan|Dorst, Kees","Oxford : Architectural Press, c2009",Architectural Design|Creative Ability,729 LAW,Brisbane|Sydney,,29/06/2009
Design for aging post-occupancy evaluations,"Anderzhon, Jeffrey (et al)|American Institute of Architects (AIA)","Hoboken, NJ: John Wiley &  Sons, 2007",Aged Care Facilities|Nursing Homes|Post Occupancy Evaluations,725.56 DES,Brisbane,,10/20/2014
Design for aging review 13: 25th Anniversary,American Institute of Architects (AIA),"Mulgrave, Victoria: Images Publishing, 2016",Aged Care Facilities|Housing for the Aged|Nursing Homes,725.56 AIA 13,Brisbane,,21/11/2017
Design for aging review 2012,American Institute of Architects (AIA),"Mulgrave, Victoria: Images Publishing, 2012",Aged Care Facilities|Housing for the Aged|Nursing Homes,725.56 AIA 2012,Brisbane,10/20/2014,
Design for aging: international case studies of building and program,"Anderzhon, Jeffrey (et al)","Hoboken, NJ: John Wiley &  Sons, 2012",Aged Care Facilities|Aged Care Facilities - Australia - Case Studies|Nursing Homes,725.56 DES,Brisbane,,10/20/2014
Design for change : the architecture of DEGW,"Duffy, Francis|DEGW","Basel, Switzerland: Birkhauser, 1998","Architecture, Modern - 20th Century|DEGW|Interior Design|Workplace Design - Case Studies",720.922 DEG,Brisbane|Sydney,25/05/2005,Aug-01
Design for mental and behavioural health,"Shepley, Mardelle McCuskey|Pasha, Samira","NY: Routledge, 2017",Mental Health Facilities|Healthcare Buildings - Design and Construction,725.51 SHE,Sydney,8/07/2019,8/07/2019
Design for shopping: new retail interiors,"Manuelli, Sara","London: Laurence King, 2006",Retail Design|Retail Facilities|Shops,725.21 MAN,Sydney,29/01/2009,
"Design futuring: sustainability, ethics and new practice","Fry, Tony","Sydney: UNSW Press, 2009",Design|Sustainable Design|Environmentally Sustainable Design (ESD),745.2 FRY,Brisbane,,26/06/2009
Design ideas for rejuvenating residential flat buildings,Randwick City Council,"Sydney: Randwick City Council, 2006",,728.31 RAN,Sydney,18/01/2010,
Design in balance : designing the national area of Canberra 1968-72,"Johnson, Roger","Brisbane: UQLD Press, 1974",Canberra - History|Urban Planning - Canberra,711.4099471 JOH,Sydney,14/12/2006,
"Design lives here: Australian interiors, furniture and lighting","Craswell, Penny","Melbourne: Thames & Hudson, 2020",Architecture - Australia - 21st Century|Interior Design,720.994 CRA,Sydney,15/07/2020,
Design museum: contemporary design: 1900 to date,"McDermott, Catherine","London, Carlton Books, 2008",Design - History,745.442 McD,Brisbane,,10/11/2009
Design of buildings for daylighting,"Paix, D","Canberra: AGPS, 1977",Sunlight|Lighting - Natural,721.0467 PAI,Sydney,9/08/2006,
Design Parramatta: new ideas to shape the city,Parramatta City Council,"Parramatta: Parramatta City Council, [2012]",Urban Planning - Parramatta|City Planning,711.550 99441 DES,Sydney,29/06/2017,
Design philosophy reader,"Willis, Anne-Marie (ed)","New York: Bloomsbury, 2019",Architectural Design|Architectural Philosophy,720.1 DES,Sydney,17/12/2018,
Design research in architecture: an overview,"Fraser, Murray (ed)","London: Ashgate, 2013",Architecture - Research,720.1 DES,Sydney,2/03/2016,
Design that cares : planning health facilities for patients and visitors,"Carpman, Janet|Grant, Myron","San Francisco: Jossey-Bass, 1993",Hospitals - Design and Construction,725.51 CAR,Sydney,26/10/2006,
Design with nature,"McHarg, Ian L","New York: John Wiley, c1992",Ecology|Environmentally Sustainable Design (ESD)|Landscape Design,711.4 MCH,Brisbane|Sydney,5/06/2008,20/01/2009
